stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location,Wards,Census Tracts,Zip Codes,Community Areas,Historical Wards 2003-2015
4530,ARCHER,MELVINA,"62,62H",3.7,25.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79357868', 'longitude': '-87.77684825'}",6,587,22268,53,35
4531,ARCHER,MERRIMAC,"62,62H",5.3,57.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79339647', 'longitude': '-87.77804135'}",6,587,22268,53,35
4535,ARCHER,NATCHEZ,"62,62H",7.8,47.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79238301', 'longitude': '-87.78414461'}",6,588,22268,53,35
4536,ARCHER,NASHVILLE,"62,62H",5.3,58.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79236585', 'longitude': '-87.78657112'}",6,588,22268,53,35
4537,ARCHER,NORMANDY,"62,62H",3.6,50.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79228395', 'longitude': '-87.78899269'}",6,588,22268,53,35
4538,ARCHER,OAK PARK,"62,62H",3.9,72.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79226561', 'longitude': '-87.79145706'}",6,588,22268,53,35
4539,ARCHER,NEW ENGLAND,"62,62H",1.8,41.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79221483', 'longitude': '-87.7938697'}",6,588,22268,53,35
4540,ARCHER,SAYRE,"62,62H",1.7,44.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79215507', 'longitude': '-87.79635283'}",6,588,22268,53,35
4541,ARCHER,NOTTINGHAM,"62,62H",3.2,76.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79209319', 'longitude': '-87.79888865'}",6,588,22268,53,35
4542,55TH STREET,CICERO,"55A,55N",4.3,2.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79318729', 'longitude': '-87.74265033'}",6,173,22268,53,35
4544,55TH STREET,LOCKWOOD,"55A,55N",4.6,7.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.792896', 'longitude': '-87.75479'}",6,607,22268,53,35
4545,55TH STREET,LONG,"55A,55N",4.9,7.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79291489', 'longitude': '-87.75727063'}",6,607,22268,53,35
4548,55TH STREET,MENARD,"55A,55N",4.2,30.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79271009', 'longitude': '-87.76713367'}",6,587,22268,53,35
4549,55TH STREET,MAYFIELD,"55A,55N",8.2,30.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79263092', 'longitude': '-87.76968128'}",6,587,22268,53,35
4550,55TH STREET,AUSTIN,55N,0.9,14.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79259767', 'longitude': '-87.77192527'}",6,587,22268,53,35
4555,55TH STREET,AUSTIN,55N,12.5,2.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79248', 'longitude': '-87.772168'}",15,590,22268,53,35
4556,AUSTIN,55TH STREET,55A,3.3,10.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.792356', 'longitude': '-87.772133'}",15,590,22268,53,35
4557,AUSTIN,56TH STREET,55A,2.9,18.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.790778', 'longitude': '-87.77206'}",15,590,22268,53,35
4568,AUSTIN,65TH STREET,55A,4.1,2.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.774399', 'longitude': '-87.771271'}",15,266,22268,62,23
4578,AUSTIN,56TH STREET,55A,26.5,3.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.790613', 'longitude': '-87.771914'}",6,590,22268,53,35
4579,AUSTIN,55TH STREET,55A,24.2,3.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.792452', 'longitude': '-87.771985'}",6,590,22268,53,35
4580,55TH STREET,MAYFIELD,"55A,55N",24.5,4.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.792529', 'longitude': '-87.769728'}",6,590,22268,53,35
4581,55TH STREET,MENARD,"55A,55N",28.9,3.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.792578', 'longitude': '-87.767291'}",6,590,22268,53,35
4582,55TH STREET,CENTRAL,"55A,55N",11.4,2.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.792675', 'longitude': '-87.762416'}",6,590,22268,53,35
4583,55TH STREET,LINDER,"55A,55N",5.2,1.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.792713', 'longitude': '-87.759966'}",6,86,22268,53,35
4584,55TH STREET,LONG,"55A,55N",4.4,2.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79275', 'longitude': '-87.757523'}",6,86,22268,53,35
4585,55TH STREET,LOCKWOOD,"55A,55N",4.1,2.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.792788', 'longitude': '-87.75508'}",6,86,22268,53,35
4587,55TH STREET,CICERO,"55A,55N",0.7,2.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79292411', 'longitude': '-87.74218031'}",6,86,22268,53,35
4589,CICERO,47TH STREET,"47,54B",339.1,107.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.80750726', 'longitude': '-87.74296269'}",8,606,22248,53,35
4591,SOLIDARITY DR,AQUARIUM,"130,146",2.7,280.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.86607357', 'longitude': '-87.61295815'}",10,374,14913,34,48
4593,SOLIDARITY DR,LYNN WHITE DRIVE,"130,146",19.7,0.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.86651683', 'longitude': '-87.60985753'}",10,374,14913,34,48
4594,STATE,CERMAK,29,82.4,139.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.8531649', 'longitude': '-87.62698514'}",9,374,21194,34,12
4595,SOLIDARITY DR,AQUARIUM,"130,146",285.9,7.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.866455', 'longitude': '-87.613604'}",10,374,14913,34,48
4597,CICERO,43RD STREET,54B,10.1,12.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.81539048', 'longitude': '-87.74350687'}",28,604,22268,53,35
4598,CICERO,47TH STREET,54B,65.7,107.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.80798797', 'longitude': '-87.74330218'}",28,604,22268,53,35
4600,CICERO,63RD STREET,"54B,165",72.6,188.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77820563', 'longitude': '-87.74212167'}",15,338,21867,62,23
4601,CICERO,61ST STREET,"54B,63,63W,165",6.5,18.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.78194037', 'longitude': '-87.74219645'}",15,232,21867,62,23
4605,CICERO,55TH STREET,"47,54B,55,62,62H",6.8,2.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79251898', 'longitude': '-87.74137056'}",15,86,22268,53,35
4606,CICERO,ARCHER,"47,54B,62",187.4,84.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79847147', 'longitude': '-87.74273032'}",8,173,22248,53,35
