,Country / Dependency,Population,% of world,Date,Source (official or from the United Nations)
136,Puerto Rico (US),3221789,0.03991776303154999,1 Jul 2022,Annual projection
137,Armenia,2981200,0.03693688045668317,1 Jan 2023,National quarterly estimate
138,Lithuania,2866965,0.0355215159930547,1 Sep 2023,Monthly national estimate
139,Jamaica,2825544,0.035008312408794574,1 Jul 2019,National projection
140,Albania,2761785,0.03421834240978825,1 Jan 2023,Official estimate
141,Qatar,2656032,0.03290806939256847,30 Jun 2023,Monthly national estimate
142,Namibia,2641857,0.032732442034298814,1 Jul 2023,National annual projection
143,Moldova,2512758,0.031132913545744764,1 Jan 2023,Official estimate
144,Gambia,2417471,0.029952313610122877,1 Jul 2022,National projection
145,Botswana,2410338,0.029863936188850394,1 Jul 2021,National annual projection
146,Lesotho,2306000,0.028571194932614848,1 Jul 2023,Official projection
147,Gabon,2233272,0.027670099587836353,1 Jul 2021,National annual projection
148,Slovenia,2117674,0.02623784763995239,1 Apr 2023,National quarterly estimate
149,Latvia,1882000,0.023317861605889483,1 Aug 2023,Monthly national estimate
150,North Macedonia,1832696,0.022706988147538378,1 Nov 2021,2021 census result
151,Guinea-Bissau,1781308,0.022070294060288938,1 Jul 2023,National annual projection
152,Kosovo,1773971,0.021979389091849825,31 Dec 2021,Official estimate
153,Bahrain,1577059,0.01953966179932118,1 Jul 2023,Official estimate
154,Equatorial Guinea,1558160,0.01930550437823207,1 Jul 2022,Official estimate
155,Estonia,1365884,0.016923216834058848,1 Jan 2023,Official estimate
156,Trinidad and Tobago,1365805,0.016922238029028633,30 Jun 2022,Official estimate
157,East Timor,1354662,0.0167841769600199,1 Jul 2023,National annual projection
158,Mauritius,1261041,0.015624218659592178,30 Jun 2023,National estimate
159,Eswatini,1223362,0.015157378219927827,1 Jul 2023,Official projection
160,Djibouti,1001454,0.01240795205986421,1 Jul 2022,National projection 
161,Cyprus,918100,0.011375201243553207,1 Oct 2021,2021 census result
162,Fiji,893468,0.01107001231311948,1 Jul 2021,National annual projection
163,Bhutan,770276,0.009543671182963936,2023,National annual projection
164,Comoros,758316,0.009395487535351589,15 Dec 2017,2017 census result
165,Guyana,743699,0.009214383824887568,1 Jul 2019,Official estimate
166,Solomon Islands,734887,0.009105203699238737,1 Jul 2023,National annual projection
167,Macau (China),678800,0.00841028929759712,30 Jun 2023,National quarterly estimate
168,Luxembourg,660809,0.00818738193938694,1 Jan 2023,Official estimate
169,Montenegro,616695,0.007640812254539859,1 Jan 2023,National annual estimate
170,Suriname,616500,0.007638396216807048,1 Jul 2021,Official estimate
171,Western Sahara,587259,0.007276102066319369,1 Jul 2023,UN projection
172,Malta,519562,0.00643734049504737,21 Nov 2021,2021 census result
173,Cape Verde,491233,0.006086345967186986,16 Jun 2021,2021 census result
174,Brunei,445400,0.005518477980479902,1 Jul 2022,Official estimate
175,Belize,441471,0.005469797917648053,1 Jul 2022,Official estimate
176,Bahamas,397360,0.004923265402612244,1 Jul 2022,National annual projection| 
177,Iceland,396960,0.004918309427775712,1 Oct 2023,National quarterly estimate
178,Northern Cyprus,382836,0.004743313956297718,31 Dec 2020,Official estimate
179,Maldives,382751,0.004742260811644955,13 Sep 2022,2022 census result
180,Transnistria,360938,0.004471999113871699,31 Dec 2022,Official estimate
181,Vanuatu,301295,0.0037330260959333003,1 Jul 2021,National annual projection
182,French Polynesia (France),279890,0.0034678194924933087,1 Jul 2021,National annual projection
183,New Caledonia (France),268510,0.0033268220083939345,1 Jan 2023,National annual projection
184,Barbados,267800,0.003318025153059088,31 Dec 2022,Official estimate| 
185,Abkhazia,244236,0.0030260686754389073,1 Jan 2022,Official estimate
186,São Tomé and Príncipe,214610,0.002659004399171064,1 Jul 2021,National annual projection
187,Samoa,205557,0.0025468382986832223,6 Nov 2021,Census 2021
188,Saint Lucia,178696,0.0022140321984729155,1 Jul 2018,Official estimate
189,Guam (US),153836,0.001906018362382367,1 Apr 2020,2020 census result
190,Curacao (Netherlands),148925,0.0018451713813268285,1 Jan 2023,Official estimate
191,Artsakh,148900,0.0018448616328995452,1 Oct 2019,Official estimate
192,Kiribati,120740,0.0014959610044075963,1 Jul 2021,National annual projection
193,Grenada,112579,0.0013948467278052242,1 Jul 2019,Official estimate
194,Saint Vincent and the Grenadines,110872,0.0013736971051903182,1 Jul 2022,Official estimate
195,Aruba (Netherlands),106739,0.001322489495191837,30 Sep 2022,National quarterly estimate
196,Micronesia,105754,0.0013102854071568738,1 Jul 2021,National annual projection
197,Jersey (UK),103267,0.0012794716336107276,21 Mar 2021,2021 census result
198,Antigua and Barbuda,100772,0.0012485587405678506,1 Jan 2022,National annual estimate
199,Seychelles,100447,0.0012445320110131672,22 Apr 2022,2022 Census
200,Tonga,100179,0.00124121150787269,1 Jan 2022,National annual estimate
201,US Virgin Islands (US),87146,0.0010797334577613415,1 Apr 2020,2020 census result
202,Isle of Man (UK),84069,0.0010416096213313087,30 May 2021,2021 census result
203,Andorra,83523,0.0010348447156794407,30 Jun 2023,Official estimate
204,Cayman Islands (UK),71105,0.0008809864768792623,30 Sep 2020,2021 Census
205,Dominica,67408,0.0008351808794526027,31 Dec 2017,Official estimate
206,Guernsey (UK),64234,0.0007958552191247104,30 Sep 2022,National quarterly estimate
207,Bermuda (UK),64055,0.0007936374203853618,1 Jul 2021,National annual projection
208,Greenland (Denmark),56865,0.0007045537726986745,1 Jul 2023,National quarterly estimate
209,South Ossetia,56520,0.0007002792444021645,31 Dec 2021,Official estimate
210,Faroe Islands (Denmark),54738,0.0006782003765054083,1 Aug 2023,Monthly national estimate
211,American Samoa (US),49710,0.0006159037728101839,1 Apr 2020,2020 census result
212,Northern Mariana Islands (US),47329,0.0005864033325957191,1 Apr 2020,2020 census result
213,Saint Kitts and Nevis,47195,0.0005847430810254804,15 May 2011,2011 census result
214,Turks and Caicos Islands (UK),46131,0.0005715601879603017,1 Jul 2021,Official estimate
215,Sint Maarten (Netherlands),42938,0.0005319991188276741,1 Jan 2023,Official estimate
216,Marshall Islands,42418,0.0005255563515401807,30 Sep 2021,2021 Census
217,Liechtenstein,39680,0.0004916327037841099,31 Dec 2022,National estimate
218,Monaco,39050,0.00048382704341656975,31 Dec 2022,Official estimate
219,Gibraltar (UK),34003,0.00042129503091661,1 Jul 2016,Official figure
220,San Marino,33881,0.00041978345859146733,31 Jul 2023,Monthly national estimate
221,Saint Martin (France),32358,0.0004009135844013666,1 Jan 2020,Official estimate
222,British Virgin Islands (UK),31538,0.00039075383598647317,1 Jul 2023,UN projection
223,Åland (Finland),30569,0.0003787479869449711,31 Aug 2023,Monthly national estimate
224,Palau,16733,0.000207320817349282,1 Jul 2021,2021 Census
225,Anguilla (UK),15701,0.0001945344022710259,31 Dec 2021,Official estimate
226,Cook Islands,15040,0.00018634465385365453,1 Jul 2021,2021 Census
227,Nauru,11832,0.00014659773566465692,1 Jul 2021,National annual projection
228,Wallis and Futuna (France),11369,0.00014086119479136958,1 Jan 2021,National annual projection
229,Tuvalu,10679,0.0001323121381983495,1 Jul 2021,National annual projection
230,Saint Barthélemy (France),10585,0.00013114748411176418,1 Jan 2020,Official estimate
231,Saint Pierre and Miquelon (France),6092,7.547949676040314e-05,1 Jan 2020,Official estimate
